scorer,,,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab
bodyparts,,,nose,nose,leftpupil,leftpupil,dorsalpupil,dorsalpupil,rightpupil,rightpupil,ventralpupil,ventralpupil,lefteyelid,lefteyelid,dorsaleyelid,dorsaleyelid,righteyelid,righteyelid,ventraleyelid,ventraleyelid
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,Giuseppina2023-01-243,img00000.png,97.01275089869877,245.6748490102425,290.2614829655819,168.6029899235897,,,332.92085992584015,168.219076247361,311.8346252441406,187.77371179436992,276.2086486816406,172.38348388671875,309.45367431640625,138.97715759277344,339.92057763909645,174.2850755951806,312.17635737187044,192.00038146972656
labeled-data,Giuseppina2023-01-243,img02211.png,100.25628662109375,241.2710723876953,288.8761749185894,165.16162201558544,,,334.274614283082,168.452277444776,310.79694158303994,187.18697657934138,276.52490234375,170.1904296875,311.1252510775885,137.50498916099684,340.3240800360364,169.63875325802016,310.4929310176424,192.99128445750347
labeled-data,Giuseppina2023-01-243,img04698.png,97.74726867675781,233.25376892089844,290.5357772565657,166.86457156684546,,,335.1090560962525,166.74038281001253,312.9286062024156,188.66517936985608,277.9659423828125,169.76785278320312,311.88806405078424,137.49382344149228,339.9089059311124,167.58238843146555,313.15282625284067,193.27130172043897
labeled-data,Giuseppina2023-01-243,img07738.png,101.111328125,240.8289031982422,289.3374980310506,164.7473665940921,,,335.83163265160044,167.1651848165711,311.58701777655557,188.57843970885423,276.3929443359375,170.36874389648438,311.88815643854673,137.76124046063174,340.6414289423704,170.19189256612324,311.03924317112234,193.73445934493805
labeled-data,Giuseppina2023-01-243,img10225.png,104.21432495117188,242.33609008789062,288.3793102469063,166.90481539877754,,,334.92775069961,167.93333441934854,311.6583557128906,188.21328769732884,276.97802734375,170.69082641601562,310.9821321299144,138.19762412058967,339.76874574898585,171.01936395342145,312.2434539451109,193.2267533551979
labeled-data,Giuseppina2023-01-243,img13817.png,97.95054626464844,243.3328857421875,290.14387868651534,165.78448382394052,,,334.6112840189562,167.37278040926546,312.8934071117533,188.46149901830182,275.5946350097656,172.62771606445312,311.64403549407143,138.25901313031164,338.72329261454826,168.79329881261887,313.2687541779059,192.5498135977586
labeled-data,Giuseppina2023-01-243,img16028.png,102.91734313964844,242.17718505859375,291.71278860721355,166.56275051536852,,,335.0395990678315,167.3960555178539,313.96697125226035,188.3806182247484,280.6379848191588,170.77529814423715,312.4914579997357,141.40627232313423,340.6757929181311,168.02374135151354,314.3516843135738,191.9221765668113
labeled-data,Giuseppina2023-01-243,img18239.png,96.45955657958984,244.04759216308594,291.2169757345903,167.60009876211095,,,335.30359616430087,167.60345388219739,312.8428208495421,188.65217594586994,277.02044677734375,171.6833953857422,311.49048559208904,138.1471515158403,339.65743837203956,169.4144769196758,313.1718556692143,192.67346284209097
