scorer,,,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab
bodyparts,,,nose,nose,leftpupil,leftpupil,dorsalpupil,dorsalpupil,rightpupil,rightpupil,ventralpupil,ventralpupil,lefteyelid,lefteyelid,dorsaleyelid,dorsaleyelid,righteyelid,righteyelid,ventraleyelid,ventraleyelid
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,Io2023-02-152,img01045.png,229.4247283935547,309.24737548828125,,,,,,,,,404.2045593261719,251.17587280273438,430.58385943990424,245.74582220533955,463.11761474609375,255.3308868408203,430.4819571981294,252.0805618603157
labeled-data,Io2023-02-152,img03870.png,226.1815948486328,315.3755798339844,,,,,,,,,396.78153709700655,245.66503366290524,425.87780156277165,241.08498459179947,453.43347865857424,253.77998516214038,425.9815018854955,245.56529202074302
labeled-data,Io2023-02-152,img03971.png,225.3441925048828,313.49072265625,,,,,,,,,404.192626953125,251.24404907226562,440.4937178571747,240.3136973700104,468.35389099729963,251.2441040888791,440.7247496140453,253.12583394103618
labeled-data,Io2023-02-152,img04234.png,227.49754333496094,305.1364440917969,438.172773001678,242.05165883380567,445.7842078800687,234.8119304935423,453.73213688927024,242.38764530237327,445.986306074941,249.36147694413293,407.4993591308594,248.26736450195312,444.3496572926183,223.13035160120137,469.195068359375,246.61550903320312,445.5293755426974,262.42887362041637
labeled-data,Io2023-02-152,img05420.png,225.14669799804688,312.1688537597656,,,,,,,,,399.356464993435,239.01659121222144,427.33114651841964,236.35109119993896,451.254367873205,244.56739913320527,427.23192175176194,245.35219519767583
labeled-data,Io2023-02-152,img06051.png,224.27073669433594,311.1126403808594,,,,,,,,,413.98264062434527,249.11614592744965,439.16589189795747,238.91075835768882,469.0644835721292,251.11394329531393,439.61230988358386,254.72596347462448
labeled-data,Io2023-02-152,img06723.png,231.55120849609375,306.6438903808594,,,,,,,,,410.51336669921875,252.30828857421875,433.4738533487456,249.69803429401964,457.67371123296664,257.61914746376027,433.51806640625,256.0597148035597
labeled-data,Io2023-02-152,img06750.png,234.27330017089844,300.9143981933594,,,,,,,,,405.20183344057733,250.4241974983991,432.16452312845513,245.92686225675902,454.3950622144928,258.1715549785121,432.0954342826823,250.25938195280494
