scorer,,,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab,SchroederLab
bodyparts,,,nose,nose,leftpupil,leftpupil,dorsalpupil,dorsalpupil,rightpupil,rightpupil,ventralpupil,ventralpupil,lefteyelid,lefteyelid,dorsaleyelid,dorsaleyelid,righteyelid,righteyelid,ventraleyelid,ventraleyelid
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,Quille2023-07-12,img00355.png,89.58421892319186,193.91112978383097,245.41664896647004,179.384377830644,,,272.7722208263675,180.34299782308824,259.18876445455635,192.21319773735453,235.98369315271228,179.19571871436887,261.07535561730793,162.9710347147055,278.8093125471725,189.00599276067692,259.00010533828123,198.816266806985
labeled-data,Quille2023-07-12,img00748.png,87.50896864416515,197.30699387678376,254.09496831512718,179.384377830644,260.54579617164774,172.3245851216839,267.11244733811293,179.95035517946943,260.88669650103276,186.17610601654957,235.98369315271228,179.19571871436887,261.07535561730793,162.9710347147055,278.8093125471725,189.00599276067692,261.45267384985823,198.25028945815953
labeled-data,Quille2023-07-12,img01664.png,89.58421892319186,193.91112978383097,256.1186924601003,179.04114031220809,260.47448742860405,173.72012661044712,265.2258561753614,178.85248119593285,260.51034273845767,183.6609726228726,235.98369315271228,179.19571871436887,261.07535561730793,162.9710347147055,278.8093125471725,189.00599276067692,261.45267384985823,198.25028945815953
labeled-data,Quille2023-07-12,img03458.png,89.58421892319186,193.91112978383097,256.1711830641292,179.0725178901195,261.1388849693833,173.34473731784738,266.4203757551124,179.1976476543194,261.26401473358305,185.04415131889863,235.98369315271228,179.19571871436887,261.07535561730793,162.9710347147055,278.8093125471725,189.00599276067692,261.45267384985823,198.25028945815953
labeled-data,Quille2023-07-12,img03898.png,92.98008301614466,194.6657662489316,255.4800759511038,179.19668318434412,260.9492613831328,172.79987299513937,266.2888393190196,179.10930174043682,261.26401473358305,185.04415131889863,235.98369315271228,179.19571871436887,261.07535561730793,162.9710347147055,278.8093125471725,189.00599276067692,261.45267384985823,198.25028945815953
labeled-data,Quille2023-07-12,img04770.png,94.8666741788962,195.23174359775706,253.34033185002656,179.57303694691913,260.8866965010328,171.3936523330453,268.4330611520391,179.95035517946945,261.07535561730793,187.49671983047568,235.98369315271228,179.19571871436887,261.07535561730793,162.9710347147055,278.8093125471725,189.00599276067692,261.45267384985823,198.25028945815953
labeled-data,Quille2023-07-12,img06787.png,84.67908190003783,196.92967564423347,252.39062959675795,179.26117700639463,260.06949515383224,170.7641456321446,268.4956260341391,179.32470635846988,260.3207191522073,186.7420833653751,235.98369315271228,179.19571871436887,259.94340091965705,162.78237559843035,278.8093125471725,189.00599276067692,261.45267384985823,198.25028945815953
labeled-data,Quille2023-07-12,img08729.png,89.3955598069167,201.83481266738752,254.74751698209593,179.89882904541585,261.0892877752801,172.3580609405385,268.4330611520391,179.95035517946945,261.33043749558414,186.7420833653751,235.98369315271228,179.19571871436887,260.8866965010328,162.9710347147055,278.8093125471725,189.00599276067692,261.45267384985823,198.25028945815953
